INTERVAL_DATETIME,REGIONID,RRP,ROP,EXCESSGENERATION,RAISE6SECRRP,RAISE6SECROP,RAISE60SECRRP,RAISE60SECROP,RAISE5MINRRP,RAISE5MINROP,RAISEREGRRP,RAISEREGROP,LOWER6SECRRP,LOWER6SECROP,LOWER60SECRRP,LOWER60SECROP,LOWER5MINRRP,LOWER5MINROP,LOWERREGRRP,LOWERREGROP,TOTALDEMAND,AVAILABLEGENERATION,AVAILABLELOAD,DEMANDFORECAST,DISPATCHABLEGENERATION,DISPATCHABLELOAD,NETINTERCHANGE,HOUR,DAY_OF_WEEK,MONTH,TOTALINTERMITTENTGENERATION,DEMAND_AND_NONSCHEDGEN,UIGF,SEMISCHEDULE_CLEAREDMW,SEMISCHEDULE_COMPLIANCEMW,SS_SOLAR_UIGF,SS_WIND_UIGF,SS_SOLAR_CLEAREDMW,SS_WIND_CLEAREDMW,SS_SOLAR_COMPLIANCEMW,SS_WIND_COMPLIANCEMW,WDR_INITIALMW,WDR_AVAILABLE,WDR_DISPATCHED
2023-02-01 00:05:00,0,120.06018,0.481340887086772,0.0,0.0,0.0,-0.4658824299910614,-0.4658824299910614,-0.29488391230979427,-0.29488391230979427,0.6389134563817163,0.6389134563817163,-1.3274981692769245,-1.3274981692769245,0.26278409544754927,0.26278409544754927,-5.551115123125783e-17,-5.551115123125783e-17,0.2948839123097629,0.2948839123097629,1.183384242606404,1.1827314335426808,-0.17521310767998244,-0.1429592551564116,0.9937795832865902,1.7795130420052188,-0.902157470775645,0,2,2,-0.727114850023681,1.1694615846465217,-0.43828939950468,-0.43862834395442685,0.0,0.0,-0.43828939950468,0.0,-0.43862834395442685,0.0,0.0,0.0,-0.3692744729379982,0.0
2023-02-01 00:10:00,0,120.06018,0.481340887086772,0.0,0.0,0.0,-0.4658824299910614,-0.4658824299910614,-0.29488391230979427,-0.29488391230979427,0.6389134563817163,0.6389134563817163,-1.3274981692769245,-1.3274981692769245,-1.7422244250126484,-1.7422244250126484,-5.551115123125783e-17,-5.551115123125783e-17,0.2948839123097629,0.2948839123097629,1.1634177709131386,1.1838141050582747,-0.17521310767998244,-1.6125535755212546,1.0035074249958926,1.7795130420052188,-0.7516634407605843,0,2,2,-0.727114850023681,1.1518134518920835,-0.42387859856207993,-0.4242362934599731,0.0,0.0,-0.42387859856207993,0.0,-0.4242362934599731,0.0,0.0,0.0,-0.3692744729379982,0.0
2023-02-01 00:15:00,0,120.06018,0.481340887086772,0.0,0.0,0.0,-0.4658824299910614,-0.4658824299910614,-0.29488391230979427,-0.29488391230979427,0.6389134563817163,0.6389134563817163,-1.3274981692769245,-1.3274981692769245,-1.7422244250126484,-1.7422244250126484,-5.551115123125783e-17,-5.551115123125783e-17,0.2948839123097629,0.2948839123097629,1.1512409092526716,1.1840987752147243,-0.17521310767998244,-0.6111622596047129,1.0043264092979012,1.7795130420052188,-0.6860065389219427,0,2,2,-0.727114850023681,1.1412137522762693,-0.42008952228196583,-0.4204521472929454,0.0,0.0,-0.42008952228196583,0.0,-0.4204521472929454,0.0,0.0,0.0,-0.3692744729379982,0.0
2023-02-01 00:20:00,0,120.06018,0.481340887086772,0.0,0.0,0.0,-0.4658824299910614,-0.4658824299910614,-0.29488391230979427,-0.29488391230979427,0.6389134563817163,0.6389134563817163,-1.3274981692769245,-1.3274981692769245,0.26278409544754927,0.26278409544754927,-5.551115123125783e-17,-5.551115123125783e-17,0.2948839123097629,0.2948839123097629,1.1277202576693786,1.1843122778320614,-0.17521310767998244,-2.0695745583057072,0.9825175878847932,1.7795130420052188,-0.6787353465602853,0,2,2,-0.727114850023681,1.1179160530477805,-0.4172477150718802,-0.4176140376676746,0.0,0.0,-0.4172477150718802,0.0,-0.4176140376676746,0.0,0.0,0.0,-0.3692744729379982,0.0
2023-02-01 00:25:00,0,118.99,0.353409546200085,0.0,0.0,0.0,-0.4658824299910614,-0.4658824299910614,-0.29488391230979427,-0.29488391230979427,0.6389134563817163,0.6389134563817163,-1.3274981692769245,-1.3274981692769245,-1.7422244250126484,-1.7422244250126484,-5.551115123125783e-17,-5.551115123125783e-17,0.2948839123097629,0.2948839123097629,1.1160066461807772,1.1844674590364794,-0.17521310767998244,-0.5516679005830172,0.9480356572725308,1.7795130420052188,-0.795840847325465,0,2,2,-0.727114850023681,1.1064623491975165,-0.41518218973506715,-0.4155511998654321,0.0,0.0,-0.41518218973506715,0.0,-0.4155511998654321,0.0,0.0,0.0,-0.3692744729379982,0.0
2023-02-01 00:30:00,0,118.99,0.353409546200085,0.0,0.0,0.0,-0.4658824299910614,-0.4658824299910614,-0.29488391230979427,-0.29488391230979427,0.6389134563817163,0.6389134563817163,-1.3274981692769245,-1.3274981692769245,0.26278409544754927,0.26278409544754927,-5.551115123125783e-17,-5.551115123125783e-17,0.2948839123097629,0.2948839123097629,1.0932762448906665,1.1845763941866012,-0.17521310767998244,-1.9677020882776146,0.9221857443035029,1.7795130420052188,-0.8132131015084519,0,2,2,-0.727114850023681,1.0841500394703156,-0.4137322183065757,-0.4141031150506127,0.0,0.0,-0.4137322183065757,0.0,-0.4141031150506127,0.0,0.0,0.0,-0.3692744729379982,0.0
2023-02-01 00:35:00,0,120.06018,0.481340887086772,0.0,0.0,0.0,-0.4658824299910614,-0.4658824299910614,-0.29488391230979427,-0.29488391230979427,0.6389134563817163,0.6389134563817163,0.7726238304117979,0.7726238304117979,0.6467218972377997,0.6467218972377997,-5.551115123125783e-17,-5.551115123125783e-17,0.2948839123097629,0.2948839123097629,1.0925521731934649,1.1846208417832307,-0.17521310767998244,0.8601976694604307,0.9121156978858497,1.7795130420052188,-0.8610261042541615,0,2,2,-0.727114850023681,1.0829946219766484,-0.41314060260579977,-0.41351226912381145,0.0,0.0,-0.41314060260579977,0.0,-0.41351226912381145,0.0,0.0,0.0,-0.3692744729379982,0.0
2023-02-01 00:40:00,0,120.06018,0.481340887086772,0.0,0.0,0.0,-0.4658824299910614,-0.4658824299910614,-0.29488391230979427,-0.29488391230979427,0.6389134563817163,0.6389134563817163,0.7726238304117979,0.7726238304117979,0.6467218972377997,0.6467218972377997,-5.551115123125783e-17,-5.551115123125783e-17,0.2948839123097629,0.2948839123097629,1.074080559197648,1.1846033710516075,-0.17521310767998244,-1.4203118588250336,0.8849123460703103,1.7795130420052188,-0.9068149642613553,0,2,2,-0.727114850023681,1.064894369333384,-0.41337314519338814,-0.4137445091412826,0.0,0.0,-0.41337314519338814,0.0,-0.4137445091412826,0.0,0.0,0.0,-0.3692744729379982,0.0
2023-02-01 00:45:00,0,118.99,0.353409546200085,0.0,0.0,0.0,-0.4658824299910614,-0.4658824299910614,-0.29488391230979427,-0.29488391230979427,-1.5795360449437545,-1.5795360449437545,0.7726238304117979,0.7726238304117979,0.6467218972377997,0.6467218972377997,-5.551115123125783e-17,-5.551115123125783e-17,0.2948839123097629,0.2948839123097629,1.0561422668282647,1.184548389631499,-0.17521310767998244,-1.3516127197330252,0.857920469074538,1.7795130420052188,-0.9542152777108626,0,2,2,-0.727114850023681,1.0462801684404284,-0.41410497039550404,-0.41447538213744134,0.0,0.0,-0.41410497039550404,0.0,-0.41447538213744134,0.0,0.0,0.0,-0.3692744729379982,0.0
2023-02-01 00:50:00,0,118.0,0.23506307413200442,0.0,0.0,0.0,-0.4658824299910614,-0.4658824299910614,-0.29488391230979427,-0.29488391230979427,0.6389134563817163,0.6389134563817163,0.7726238304117979,0.7726238304117979,0.6467218972377997,0.6467218972377997,-5.551115123125783e-17,-5.551115123125783e-17,0.2948839123097629,0.2948839123097629,1.0371606883575368,1.1844628344310497,-0.17521310767998244,-1.485856016771081,0.8199626614246436,1.7795130420052188,-1.052415678335733,0,2,2,-0.727114850023681,1.0283847222425293,-0.41524374512589923,-0.41561267516417433,0.0,0.0,-0.41524374512589923,0.0,-0.41561267516417433,0.0,0.0,0.0,-0.3692744729379982,0.0
